"INICIO_SINTOMAS","DADOS","CASOS.x","CASOS.y","CASOS.x","CASOS.y","CASOS","MEDIANA_CASOS"
2020-04-27,"Atuais",6,6,6,6,6,6
2020-04-27,"Totais",8,9,6,6,6,6
2020-04-28,"Atuais",7,7,7,7,7,7
2020-04-28,"Totais",12,10,11,11,12,11
2020-04-29,"Atuais",3,3,3,3,3,3
2020-04-29,"Totais",9,6,7,9,8,8
2020-04-30,"Atuais",4,4,4,4,4,4
2020-04-30,"Totais",6,5,6,4,5,5
2020-05-01,"Atuais",9,9,9,9,9,9
2020-05-01,"Totais",10,12,12,13,13,12
2020-05-02,"Atuais",2,2,2,2,2,2
2020-05-02,"Totais",6,3,8,3,3,3
2020-05-03,"Atuais",2,2,2,2,2,2
2020-05-03,"Totais",2,2,2,2,2,2
2020-05-04,"Atuais",10,10,10,10,10,10
2020-05-04,"Totais",15,14,14,12,16,14
2020-05-05,"Atuais",21,21,21,21,21,21
2020-05-05,"Totais",27,27,26,26,24,26
2020-05-06,"Atuais",9,9,9,9,9,9
2020-05-06,"Totais",16,15,16,15,14,15
2020-05-07,"Atuais",4,4,4,4,4,4
2020-05-07,"Totais",8,6,5,6,7,6
2020-05-08,"Atuais",12,12,12,12,12,12
2020-05-08,"Totais",14,14,13,12,13,13
2020-05-09,"Atuais",4,4,4,4,4,4
2020-05-09,"Totais",4,4,4,4,5,4
2020-05-10,"Atuais",3,3,3,3,3,3
2020-05-10,"Totais",6,6,6,6,6,6
2020-05-11,"Atuais",6,6,6,6,6,6
2020-05-11,"Totais",9,9,9,9,11,9
2020-05-12,"Atuais",12,12,12,12,12,12
2020-05-12,"Totais",14,14,15,16,12,14
2020-05-13,"Atuais",19,19,19,19,19,19
2020-05-13,"Totais",25,26,23,25,24,25
2020-05-14,"Atuais",9,9,9,9,9,9
2020-05-14,"Totais",11,12,12,11,11,11
2020-05-15,"Atuais",10,10,10,10,10,10
2020-05-15,"Totais",16,15,18,15,14,15
2020-05-16,"Atuais",4,4,4,4,4,4
2020-05-16,"Totais",5,5,5,5,5,5
2020-05-17,"Atuais",5,5,5,5,5,5
2020-05-17,"Totais",8,9,8,8,8,8
2020-05-18,"Atuais",8,8,8,8,8,8
2020-05-18,"Totais",9,9,9,9,12,9
2020-05-19,"Atuais",19,19,19,19,19,19
2020-05-19,"Totais",30,29,30,26,28,29
2020-05-20,"Atuais",11,11,11,11,11,11
2020-05-20,"Totais",16,16,15,17,14,16
2020-05-21,"Atuais",12,12,12,12,12,12
2020-05-21,"Totais",19,22,21,21,17,21
2020-05-22,"Atuais",13,13,13,13,13,13
2020-05-22,"Totais",18,18,19,20,19,19
2020-05-23,"Atuais",7,7,7,7,7,7
2020-05-23,"Totais",11,14,12,9,10,11
2020-05-24,"Atuais",11,11,11,11,11,11
2020-05-24,"Totais",13,19,14,21,16,16
2020-05-25,"Atuais",7,7,7,7,7,7
2020-05-25,"Totais",17,23,15,12,17,17
2020-05-26,"Atuais",7,7,7,7,7,7
2020-05-26,"Totais",23,35,32,26,28,28
2020-05-27,"Atuais",5,5,5,5,5,5
2020-05-27,"Totais",34,36,23,27,25,27
2020-05-28,"Atuais",7,7,7,7,7,7
2020-05-28,"Totais",34,42,39,40,41,40
2020-05-29,"Atuais",7,7,7,7,7,7
2020-05-29,"Totais",27,30,27,31,29,29
2020-05-30,"Atuais",3,3,3,3,3,3
2020-05-30,"Totais",15,18,16,10,18,16
2020-05-31,"Atuais",1,1,1,1,1,1
2020-05-31,"Totais",8,12,11,4,13,11
2020-06-01,"Atuais",1,1,1,1,1,1
2020-06-01,"Totais",12,11,8,6,18,11
