"INICIO_SINTOMAS","CASOS","CUM_CASOS","DADOS"
2020-05-06,17,1131,"Totais"
2020-05-07,6,1137,"Totais"
2020-05-08,16,1153,"Totais"
2020-05-09,6,1159,"Totais"
2020-05-10,8,1167,"Totais"
2020-05-11,9,1176,"Totais"
2020-05-12,15,1191,"Totais"
2020-05-13,18,1209,"Totais"
2020-05-14,12,1221,"Totais"
2020-05-15,13,1234,"Totais"
2020-05-16,3,1237,"Totais"
2020-05-17,5,1242,"Totais"
2020-05-18,11,1253,"Totais"
2020-05-19,16,1269,"Totais"
2020-05-20,17,1286,"Totais"
2020-05-21,12,1298,"Totais"
2020-05-22,9,1307,"Totais"
2020-05-23,10,1317,"Totais"
2020-05-24,9,1326,"Totais"
2020-05-25,3,1329,"Totais"
