"INICIO_SINTOMAS","DADOS","CASOS.x","CASOS.y","CASOS.x","CASOS.y","CASOS","MEDIANA_CASOS"
2020-04-13,"Atuais",8,8,8,8,8,8
2020-04-13,"Totais",13,9,14,8,10,10
2020-04-14,"Atuais",5,5,5,5,5,5
2020-04-14,"Totais",6,10,8,5,7,7
2020-04-15,"Atuais",10,10,10,10,10,10
2020-04-15,"Totais",19,14,15,16,16,16
2020-04-16,"Atuais",8,8,8,8,8,8
2020-04-16,"Totais",15,12,13,16,12,13
2020-04-17,"Atuais",4,4,4,4,4,4
2020-04-17,"Totais",5,8,6,8,10,8
2020-04-18,"Atuais",10,10,10,10,10,10
2020-04-18,"Totais",13,18,16,25,23,18
2020-04-19,"Atuais",7,7,7,7,7,7
2020-04-19,"Totais",10,9,12,10,14,10
2020-04-20,"Atuais",19,19,19,19,19,19
2020-04-20,"Totais",26,30,28,26,29,28
2020-04-21,"Atuais",11,11,11,11,11,11
2020-04-21,"Totais",14,16,22,17,18,17
2020-04-22,"Atuais",10,10,10,10,10,10
2020-04-22,"Totais",12,12,11,13,18,12
2020-04-23,"Atuais",8,8,8,8,8,8
2020-04-23,"Totais",12,14,18,12,11,12
2020-04-24,"Atuais",5,5,5,5,5,5
2020-04-24,"Totais",5,5,5,5,5,5
2020-04-25,"Atuais",6,6,6,6,6,6
2020-04-25,"Totais",9,11,9,6,9,9
2020-04-26,"Atuais",6,6,6,6,6,6
2020-04-26,"Totais",6,10,11,11,6,10
2020-04-27,"Atuais",6,6,6,6,6,6
2020-04-27,"Totais",9,9,8,8,6,8
2020-04-28,"Atuais",7,7,7,7,7,7
2020-04-28,"Totais",13,12,12,12,13,12
2020-04-29,"Atuais",3,3,3,3,3,3
2020-04-29,"Totais",9,10,9,9,7,9
2020-04-30,"Atuais",4,4,4,4,4,4
2020-04-30,"Totais",6,5,6,5,5,5
2020-05-01,"Atuais",9,9,9,9,9,9
2020-05-01,"Totais",13,13,11,14,13,13
2020-05-02,"Atuais",2,2,2,2,2,2
2020-05-02,"Totais",3,5,3,6,3,3
2020-05-03,"Atuais",2,2,2,2,2,2
2020-05-03,"Totais",2,2,2,2,2,2
2020-05-04,"Atuais",10,10,10,10,10,10
2020-05-04,"Totais",14,14,15,12,16,14
2020-05-05,"Atuais",21,21,21,21,21,21
2020-05-05,"Totais",27,27,26,27,24,27
2020-05-06,"Atuais",9,9,9,9,9,9
2020-05-06,"Totais",14,16,14,16,15,15
2020-05-07,"Atuais",4,4,4,4,4,4
2020-05-07,"Totais",8,6,7,4,6,6
2020-05-08,"Atuais",12,12,12,12,12,12
2020-05-08,"Totais",14,14,12,12,13,13
2020-05-09,"Atuais",4,4,4,4,4,4
2020-05-09,"Totais",4,4,4,4,6,4
2020-05-10,"Atuais",3,3,3,3,3,3
2020-05-10,"Totais",3,6,6,3,7,6
2020-05-11,"Atuais",6,6,6,6,6,6
2020-05-11,"Totais",10,9,9,9,8,9
2020-05-12,"Atuais",12,12,12,12,12,12
2020-05-12,"Totais",14,16,17,16,12,16
2020-05-13,"Atuais",19,19,19,19,19,19
2020-05-13,"Totais",25,26,23,22,22,23
2020-05-14,"Atuais",9,9,9,9,9,9
2020-05-14,"Totais",11,12,12,11,11,11
2020-05-15,"Atuais",10,10,10,10,10,10
2020-05-15,"Totais",14,15,16,16,14,15
2020-05-16,"Atuais",4,4,4,4,4,4
2020-05-16,"Totais",5,5,5,4,5,5
2020-05-17,"Atuais",5,5,5,5,5,5
2020-05-17,"Totais",8,9,7,8,8,8
2020-05-18,"Atuais",8,8,8,8,8,8
2020-05-18,"Totais",9,9,9,9,12,9
2020-05-19,"Atuais",19,19,19,19,19,19
2020-05-19,"Totais",30,28,30,26,26,28
2020-05-20,"Atuais",11,11,11,11,11,11
2020-05-20,"Totais",15,17,15,15,13,15
2020-05-21,"Atuais",12,12,12,12,12,12
2020-05-21,"Totais",19,21,18,21,19,19
2020-05-22,"Atuais",13,13,13,13,13,13
2020-05-22,"Totais",19,18,18,21,19,19
2020-05-23,"Atuais",7,7,7,7,7,7
2020-05-23,"Totais",11,13,10,8,10,10
2020-05-24,"Atuais",11,11,11,11,11,11
2020-05-24,"Totais",12,21,15,18,16,16
2020-05-25,"Atuais",7,7,7,7,7,7
2020-05-25,"Totais",18,24,18,9,15,18
2020-05-26,"Atuais",7,7,7,7,7,7
2020-05-26,"Totais",25,36,31,22,29,29
2020-05-27,"Atuais",5,5,5,5,5,5
2020-05-27,"Totais",26,33,24,22,21,24
2020-05-28,"Atuais",7,7,7,7,7,7
2020-05-28,"Totais",39,35,44,44,40,40
2020-05-29,"Atuais",7,7,7,7,7,7
2020-05-29,"Totais",32,30,33,26,31,31
2020-05-30,"Atuais",3,3,3,3,3,3
2020-05-30,"Totais",17,16,18,17,20,17
2020-05-31,"Atuais",1,1,1,1,1,1
2020-05-31,"Totais",12,11,4,14,14,12
2020-06-01,"Atuais",1,1,1,1,1,1
2020-06-01,"Totais",18,14,14,4,19,14
